what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288580366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288584637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288587898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288591468
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634288592393
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634288596400
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1634288597494
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634288601143
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634288602470
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634288608323
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288619741
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288626313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288629543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288630739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288631167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288641828
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288643899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288797487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288799473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288799486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288803316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288803332
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288811662
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1634288821293
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288821339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288821402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288821419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288833586
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634288836355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1634288844500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1634288847372
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288849080
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288849113
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288850417
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288850859
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288850860
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1634288850866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288856203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288856240
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288856249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288857983
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288859195
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288859238
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288859247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288863502
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634288870425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288978001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288978031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288978038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288980123
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288982117
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288982154
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634288982234
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288983161
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288983476
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634288983476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288984792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288987517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288987543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288990021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288990038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288992462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634288995618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289001616
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289002560
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289006447
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634289006581
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1634289007563
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1634289009158
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1634289009175
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289009892
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289011182
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289012537
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1634289014044
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1634289034660
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1634289034676
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1634289035332
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289036496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289089811
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289098971
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1634289104271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289589828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289591555
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289592484
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289596607
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1634289596878
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289597541
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1634289597685
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289600360
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289601437
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1634289602801
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634289611632
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1634289611643
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289615214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289617334
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289627205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289629492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289629507
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289632315
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1634289633281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289635803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289638444
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289639407
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289643309
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1634289644376
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1634289646205
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289646770
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289647863
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1634289648220
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634289675339
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1634289683558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289699930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289703281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289703732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289703840
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289704231
error,log,,,"An internal error occurred during: ""Launching test_HelloWorld1 Nios II Hardware configuration"".",1634289705317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289705432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289708594
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1634289708598
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1634289709679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289713351
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1634289713473
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289713620
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634289752407
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1634289760247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289761905
