what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1634289925187
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1634289925188
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1634289925188
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1634289925188
started,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1634289925189
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1634289925189
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1634289925189
os,sysinfo,,,"win32",1634289925190
arch,sysinfo,,,"x86",1634289925190
ws,sysinfo,,,"win32",1634289925190
locale,sysinfo,,,"fr_FR",1634289925190
processors,sysinfo,,,"8",1634289925190
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1634289925190
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1634289925190
java.specification.name,sysinfo,,,"Java Platform API Specification",1634289925190
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1634289925190
java.specification.version,sysinfo,,,"1.6",1634289925190
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1634289925190
java.version,sysinfo,,,"1.6.0_23",1634289925190
java.vm.info,sysinfo,,,"mixed mode",1634289925190
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1634289925191
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1634289925191
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1634289925191
java.vm.specification.version,sysinfo,,,"1.0",1634289925191
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1634289925191
java.vm.version,sysinfo,,,"19.0-b09",1634289925191
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1634289927288
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1634289927440
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1634289927485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289932033
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634289933710
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634289933731
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1634289933738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289933778
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1634289933782
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1634289933782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289938572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289941727
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1634289941742
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1634289941742
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289944519
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1634289945842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289945862
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1634289945866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1634289945866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289948383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289949895
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1634289949898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1634289949898
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289951945
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634289952851
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1634289952853
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1634289952853
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634290035527
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1634290035645
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1634290035645
stopped,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1634290035646
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1634290035646
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1634290035646
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1634290035647
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1634290035648
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1634290035648
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1634290035649
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1634290035650
stopped,bundle,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui",1634290035650
stopped,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1634290035650
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1634290035651
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1634290035651
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1634290035651
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1634290035651
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1634290035652
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1634290035652
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1634290035652
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1634290035652
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1634290035652
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1634290035652
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1634290035652
stopped,bundle,com.altera.sbtgui.flash.plugin,11.0.0.208,"com.altera.sbtgui.flash.plugin",1634290035653
stopped,bundle,com.altera.sbtgui.gprof,11.0.0.208,"com.altera.sbtgui.gprof",1634290035653
stopped,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1634290035653
stopped,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1634290035657
stopped,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1634290035657
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1634290035658
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1634290035658
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1634290035662
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1634290035662
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1634290035662
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1634290035671
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1634290035671
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1634290035671
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1634290035671
